Year,Round,Circuit,TeamName,DriverA,DriverB,Quali_Delta,Grid_Delta,Points_Delta,Experience_Delta,FavoriteTrackAdvantage,TrackType,Target
2021,5,Monte Carlo,Aston Martin,VET,STR,-5.0,-5.0,-5.0,0,-3.0,permanent,1
2021,5,Monte Carlo,Aston Martin,STR,VET,5.0,5.0,5.0,0,3.0,permanent,0
2021,5,Monte Carlo,McLaren,NOR,RIC,-7.0,-7.0,17.0,0,-9.0,permanent,1
2021,5,Monte Carlo,McLaren,RIC,NOR,7.0,7.0,-17.0,0,9.0,permanent,0
2021,5,Monte Carlo,Red Bull Racing,VER,PER,-7.0,-7.0,47.0,0,-3.0,permanent,1
2021,5,Monte Carlo,Red Bull Racing,PER,VER,7.0,7.0,-47.0,0,3.0,permanent,0
2021,5,Monte Carlo,Williams,RUS,LAT,-3.0,-3.0,0.0,0,-1.0,permanent,1
2021,5,Monte Carlo,Williams,LAT,RUS,3.0,3.0,0.0,0,1.0,permanent,0
2021,6,Baku,Alfa Romeo Racing,RAI,GIO,-6.0,-6.0,-1.0,0,-1.0,street,1
2021,6,Baku,Alfa Romeo Racing,GIO,RAI,6.0,6.0,1.0,0,1.0,street,0
2021,6,Baku,AlphaTauri,GAS,TSU,-4.0,-3.0,14.0,0,-1.9999999999999991,street,1
2021,6,Baku,AlphaTauri,TSU,GAS,4.0,3.0,-14.0,0,1.9999999999999991,street,0
2021,6,Baku,Ferrari,LEC,SAI,-4.0,-4.0,2.0,0,-0.5,street,1
2021,6,Baku,Ferrari,SAI,LEC,4.0,4.0,-2.0,0,0.5,street,0
2021,6,Baku,Haas F1 Team,MSC,MAZ,-1.0,-1.0,0.0,0,-0.5,street,1
2021,6,Baku,Haas F1 Team,MAZ,MSC,1.0,1.0,0.0,0,0.5,street,0
2021,6,Baku,McLaren,NOR,RIC,-7.0,-4.0,32.0,0,-3.75,street,1
2021,6,Baku,McLaren,RIC,NOR,7.0,4.0,-32.0,0,3.75,street,0
2021,6,Baku,Mercedes,BOT,HAM,8.0,8.0,-54.0,0,2.5,street,1
2021,6,Baku,Mercedes,HAM,BOT,-8.0,-8.0,54.0,0,-2.5,street,0
2021,7,Le Castellet,Alfa Romeo Racing,GIO,RAI,-4.0,-4.0,0.0,0,-2.0,permanent,1
2021,7,Le Castellet,Alfa Romeo Racing,RAI,GIO,4.0,4.0,0.0,0,2.0,permanent,0
2021,7,Le Castellet,AlphaTauri,GAS,TSU,-14.0,6.0,23.0,0,-3.5,permanent,1
2021,7,Le Castellet,AlphaTauri,TSU,GAS,14.0,-6.0,-23.0,0,3.5,permanent,0
2021,7,Le Castellet,Alpine,ALO,OCO,-2.0,-2.0,1.0,0,-4.0,permanent,1
2021,7,Le Castellet,Alpine,OCO,ALO,2.0,2.0,-1.0,0,4.0,permanent,0
2021,7,Le Castellet,Aston Martin,VET,STR,-7.0,-7.0,19.0,0,0.0,permanent,1
2021,7,Le Castellet,Aston Martin,STR,VET,7.0,7.0,-19.0,0,0.0,permanent,0
2021,7,Le Castellet,Ferrari,SAI,LEC,-2.0,-2.0,-10.0,0,-8.0,permanent,1
2021,7,Le Castellet,Ferrari,LEC,SAI,2.0,2.0,10.0,0,8.0,permanent,0
2021,7,Le Castellet,Haas F1 Team,MSC,MAZ,-3.0,-3.0,0.0,0,-3.0,permanent,1
2021,7,Le Castellet,Haas F1 Team,MAZ,MSC,3.0,3.0,0.0,0,3.0,permanent,0
2021,7,Le Castellet,McLaren,NOR,RIC,-2.0,-2.0,40.0,0,-1.5,permanent,1
