Year,Round,Circuit,TeamName,Abbreviation,QualiPos,GridPosition,ClassifiedPosition,Status,Time
2024,1,Sakhir,Red Bull Racing,VER,1.0,1.0,1,Finished,0 days 01:31:44.742000
2024,1,Sakhir,Red Bull Racing,PER,5.0,5.0,2,Finished,0 days 00:00:22.457000
2024,1,Sakhir,Ferrari,SAI,4.0,4.0,3,Finished,0 days 00:00:25.110000
2024,1,Sakhir,Ferrari,LEC,2.0,2.0,4,Finished,0 days 00:00:39.669000
2024,1,Sakhir,Mercedes,RUS,3.0,3.0,5,Finished,0 days 00:00:46.788000
2024,1,Sakhir,McLaren,NOR,7.0,7.0,6,Finished,0 days 00:00:48.458000
2024,1,Sakhir,Mercedes,HAM,9.0,9.0,7,Finished,0 days 00:00:50.324000
2024,1,Sakhir,McLaren,PIA,8.0,8.0,8,Finished,0 days 00:00:56.082000
2024,1,Sakhir,Aston Martin,ALO,6.0,6.0,9,Finished,0 days 00:01:14.887000
2024,1,Sakhir,Aston Martin,STR,12.0,12.0,10,Finished,0 days 00:01:33.216000
2024,1,Sakhir,Kick Sauber,ZHO,17.0,17.0,11,Lapped,0 days 00:00:06.759000
2024,1,Sakhir,Haas F1 Team,MAG,15.0,15.0,12,Lapped,0 days 00:00:08.316000
2024,1,Sakhir,RB,RIC,14.0,14.0,13,Lapped,0 days 00:00:08.958000
2024,1,Sakhir,RB,TSU,11.0,11.0,14,Lapped,0 days 00:00:09.482000
2024,1,Sakhir,Williams,ALB,13.0,13.0,15,Lapped,0 days 00:00:11.886000
2024,1,Sakhir,Haas F1 Team,HUL,10.0,10.0,16,Lapped,0 days 00:00:17.632000
2024,1,Sakhir,Alpine,OCO,19.0,19.0,17,Lapped,0 days 00:00:31.450000
2024,1,Sakhir,Alpine,GAS,20.0,20.0,18,Lapped,0 days 00:00:32.417000
2024,1,Sakhir,Kick Sauber,BOT,16.0,16.0,19,Lapped,0 days 00:01:23.230000
2024,1,Sakhir,Williams,SAR,18.0,18.0,20,Lapped,0 days 00:00:20.795000
2024,2,Jeddah,Red Bull Racing,VER,1.0,1.0,1,Finished,0 days 01:20:43.273000
2024,2,Jeddah,Red Bull Racing,PER,3.0,3.0,2,Finished,0 days 00:00:13.643000
2024,2,Jeddah,Ferrari,LEC,2.0,2.0,3,Finished,0 days 00:00:18.639000
2024,2,Jeddah,McLaren,PIA,5.0,5.0,4,Finished,0 days 00:00:32.007000
2024,2,Jeddah,Aston Martin,ALO,4.0,4.0,5,Finished,0 days 00:00:35.759000
2024,2,Jeddah,Mercedes,RUS,7.0,7.0,6,Finished,0 days 00:00:39.936000
2024,2,Jeddah,Ferrari,BEA,11.0,11.0,7,Finished,0 days 00:00:42.679000
2024,2,Jeddah,McLaren,NOR,6.0,6.0,8,Finished,0 days 00:00:45.708000
2024,2,Jeddah,Mercedes,HAM,8.0,8.0,9,Finished,0 days 00:00:47.391000
2024,2,Jeddah,Haas F1 Team,HUL,15.0,15.0,10,Finished,0 days 00:01:16.996000
2024,2,Jeddah,Williams,ALB,12.0,12.0,11,Finished,0 days 00:01:28.354000
2024,2,Jeddah,Haas F1 Team,MAG,13.0,13.0,12,Finished,0 days 00:01:45.737000
2024,2,Jeddah,Alpine,OCO,17.0,17.0,13,Lapped,0 days 00:00:04.001000
2024,2,Jeddah,Williams,SAR,19.0,19.0,14,Lapped,0 days 00:00:06.785000
2024,2,Jeddah,RB,TSU,9.0,9.0,15,Lapped,0 days 00:00:10.533000
2024,2,Jeddah,RB,RIC,14.0,14.0,16,Lapped,0 days 00:00:20.715000
2024,2,Jeddah,Kick Sauber,BOT,16.0,16.0,17,Lapped,0 days 00:00:23.115000
2024,2,Jeddah,Kick Sauber,ZHO,20.0,20.0,18,Lapped,0 days 00:00:29.553000
2024,2,Jeddah,Aston Martin,STR,10.0,10.0,R,Retired,
2024,2,Jeddah,Alpine,GAS,18.0,18.0,R,Retired,
2024,3,Melbourne,Ferrari,SAI,2.0,2.0,1,Finished,0 days 01:20:26.843000
2024,3,Melbourne,Ferrari,LEC,5.0,4.0,2,Finished,0 days 00:00:02.366000
2024,3,Melbourne,McLaren,NOR,4.0,3.0,3,Finished,0 days 00:00:05.904000
2024,3,Melbourne,McLaren,PIA,6.0,5.0,4,Finished,0 days 00:00:35.770000
2024,3,Melbourne,Red Bull Racing,PER,3.0,6.0,5,Finished,0 days 00:00:56.309000
2024,3,Melbourne,Aston Martin,STR,9.0,9.0,6,Finished,0 days 00:01:33.222000
2024,3,Melbourne,RB,TSU,8.0,8.0,7,Finished,0 days 00:01:35.601000
2024,3,Melbourne,Aston Martin,ALO,10.0,10.0,8,Finished,0 days 00:01:40.992000
2024,3,Melbourne,Haas F1 Team,HUL,16.0,16.0,9,Finished,0 days 00:01:44.553000
2024,3,Melbourne,Haas F1 Team,MAG,14.0,14.0,10,Lapped,0 days 00:00:04.081000
2024,3,Melbourne,Williams,ALB,12.0,12.0,11,Lapped,0 days 00:00:05.009000
2024,3,Melbourne,RB,RIC,18.0,18.0,12,Lapped,0 days 00:00:11.508000
2024,3,Melbourne,Alpine,GAS,17.0,17.0,13,Lapped,0 days 00:00:40.953000
2024,3,Melbourne,Kick Sauber,BOT,13.0,13.0,14,Lapped,0 days 00:00:42.326000
2024,3,Melbourne,Kick Sauber,ZHO,19.0,19.0,15,Lapped,0 days 00:00:44.293000
2024,3,Melbourne,Alpine,OCO,15.0,15.0,16,Lapped,0 days 00:00:53.979000
2024,3,Melbourne,Mercedes,RUS,7.0,7.0,17,Retired,
2024,3,Melbourne,Mercedes,HAM,11.0,11.0,R,Retired,
2024,3,Melbourne,Red Bull Racing,VER,1.0,1.0,R,Retired,
2024,4,Suzuka,Red Bull Racing,VER,1.0,1.0,1,Finished,0 days 01:54:23.566000
2024,4,Suzuka,Red Bull Racing,PER,2.0,2.0,2,Finished,0 days 00:00:12.535000
2024,4,Suzuka,Ferrari,SAI,4.0,4.0,3,Finished,0 days 00:00:20.866000
2024,4,Suzuka,Ferrari,LEC,8.0,8.0,4,Finished,0 days 00:00:26.522000
2024,4,Suzuka,McLaren,NOR,3.0,3.0,5,Finished,0 days 00:00:29.700000
2024,4,Suzuka,Aston Martin,ALO,5.0,5.0,6,Finished,0 days 00:00:44.272000
2024,4,Suzuka,Mercedes,RUS,9.0,9.0,7,Finished,0 days 00:00:45.951000
2024,4,Suzuka,McLaren,PIA,6.0,6.0,8,Finished,0 days 00:00:47.525000
2024,4,Suzuka,Mercedes,HAM,7.0,7.0,9,Finished,0 days 00:00:48.626000
