Year,Round,Circuit,TeamName,Abbreviation,QualiPos,GridPosition,ClassifiedPosition,Status,Time
2023,1,Sakhir,Red Bull Racing,VER,1.0,1.0,1,Finished,0 days 01:33:56.736000
2023,1,Sakhir,Red Bull Racing,PER,2.0,2.0,2,Finished,0 days 00:00:11.987000
2023,1,Sakhir,Aston Martin,ALO,5.0,5.0,3,Finished,0 days 00:00:38.637000
2023,1,Sakhir,Ferrari,SAI,4.0,4.0,4,Finished,0 days 00:00:48.052000
2023,1,Sakhir,Mercedes,HAM,7.0,7.0,5,Finished,0 days 00:00:50.977000
2023,1,Sakhir,Aston Martin,STR,8.0,8.0,6,Finished,0 days 00:00:54.502000
2023,1,Sakhir,Mercedes,RUS,6.0,6.0,7,Finished,0 days 00:00:55.873000
2023,1,Sakhir,Alfa Romeo,BOT,12.0,12.0,8,Finished,0 days 00:01:12.647000
2023,1,Sakhir,Alpine,GAS,20.0,20.0,9,Finished,0 days 00:01:13.753000
2023,1,Sakhir,Williams,ALB,15.0,15.0,10,Finished,0 days 00:01:29.774000
2023,1,Sakhir,AlphaTauri,TSU,14.0,14.0,11,Finished,0 days 00:01:30.870000
2023,1,Sakhir,Williams,SAR,16.0,16.0,12,Lapped,0 days 00:00:01.136000
2023,1,Sakhir,Haas F1 Team,MAG,17.0,17.0,13,Lapped,0 days 00:00:16.757000
2023,1,Sakhir,AlphaTauri,DEV,19.0,19.0,14,Lapped,0 days 00:00:22.523000
2023,1,Sakhir,Haas F1 Team,HUL,10.0,10.0,15,Lapped,0 days 00:00:38.911000
2023,1,Sakhir,Alfa Romeo,ZHO,13.0,13.0,16,Lapped,0 days 00:00:39.649000
2023,1,Sakhir,McLaren,NOR,11.0,11.0,17,Lapped,0 days 00:00:06.636000
2023,1,Sakhir,Alpine,OCO,9.0,9.0,R,Retired,
2023,1,Sakhir,Ferrari,LEC,3.0,3.0,R,Retired,
2023,1,Sakhir,McLaren,PIA,18.0,18.0,R,Retired,
2023,2,Jeddah,Red Bull Racing,PER,1.0,1.0,1,Finished,0 days 01:21:14.894000
2023,2,Jeddah,Red Bull Racing,VER,15.0,15.0,2,Finished,0 days 00:00:05.355000
2023,2,Jeddah,Aston Martin,ALO,3.0,2.0,3,Finished,0 days 00:00:20.728000
2023,2,Jeddah,Mercedes,RUS,4.0,3.0,4,Finished,0 days 00:00:25.866000
2023,2,Jeddah,Mercedes,HAM,8.0,7.0,5,Finished,0 days 00:00:31.065000
2023,2,Jeddah,Ferrari,SAI,5.0,4.0,6,Finished,0 days 00:00:35.876000
2023,2,Jeddah,Ferrari,LEC,2.0,12.0,7,Finished,0 days 00:00:43.162000
